cz,en
požadavek,requirement
slavný,famous
muzeum,museum
zajistit,ensure
výstava,exhibition
Václav,Wenceslas
aniž,without
probíhat,take place
přemýšlet,think
zvládnout,to handle
budoucnost,future
podlaha,floor
policista,policeman
přímý,direct
snaha,effort
předpokládat,assume
obrázek,picture
kdysi,once
stovka,hundred
hledisko,aspect
září,September
vznik,emergence
opustit,forsake
ztráta,loss
drobný,small
avšak,but
scéna,scene
liga,league
anebo,or
napětí,voltage
přesvědčit,convince
vítr,wind
duše,soul
technika,technique
zima,winter
učitel,teacher
partner,partner
pevný,solid
dozvědět,to learn
struktura,structure
produkt,product
volat,call
domov,home
dolar,dollar
zavřít,close
kulturní,cultural
souvislost,context
výška,height
zabít,kill
výhoda,advantage
komunikace,communications
skvělý,great
park,park
kostel,church
dodávat,deliver
divák,spectator
generace,generation
potvrdit,confirm
léto,summer
předseda,chairman
obr,giant
vznikat,to arise
určit,determine
stanice,station
drahý,expensive
počátek,beginning
gól,goal
pryč,away
kategorie,category
vstoupit,enter
utkání,game
všude,everywhere
svatý,holy
Čech,Guild
učit,teach
návštěvník,visitor
konečný,final
ucho,ear
přírodní,natural
cizí,foreign
maso,meat
veřejnost,public
maminka,mom
dispozice,disposition
střecha,roof
ruský,Russian
zkusit,try
následovat,follow
uživatel,user
neustále,constantly
náročný,demanding
prodej,sale
dávno,long ago
vyrazit,to go out
takto,thus
internet,Internet
souhlasit,agree
řídit,drive
krk,neck
krajina,country
vždyť,after all
hudební,music
krize,crisis
hotel,hotel
setkat,to meet
motor,engine
předchozí,previous
praxe,practice
prázdný,empty
blízko,close
bránit,defend
povinnost,obligation
režim,regime
pokus,try
noviny,news
společenský,social
sport,sport
tušit,to suspect
uvádět,to state
ozvat,to call
francouzský,French
povídat,to talk
dojem,impression
naděje,hope
zabývat,to deal with
okraj,fringe
nosit,wear
mozek,brain
smát,laugh
karta,card
dřevěný,wooden
jižní,south
způsobit,cause
titul,title
nejprve,first
záležet,depend
právní,legal
ret,lip
délka,length
hrozit,threaten
zbraň,weapon
sobota,Saturday
spíš,file
hovořit,talk
zvolit,choose
dokument,document
přiznat,admit
správa,management
paměť,memory
údaj,detail
stopa,track
odborník,expert
časopis,magazine
nijak,no
odborný,professional
řád,order
Marie,Mary
sportovní,sports
složitý,complex
kontakt,contact
bojovat,combat
založit,establish
pivo,beer
horní,upper
západní,west
buď,either
krátce,briefly
soukromý,private
zpět,back
občan,citizen
přirozený,natural
vyžadovat,require
použití,use
růst,growth
vojenský,military
šaty,dress
jasně,clearly
riziko,risk
uvažovat,think
konat,to act
běžet,run
moc,urine
analýza,analysis
vydržet,withstand
ročník,vintage
dopravní,transport
lehký,light
starosta,mayor
tolik,so many
vadit,bother
záležitost,matter
případně,possibly
mistr,master
zdravý,healthy
holka,girl
mysl,mind
stín,shadow
zub,tooth
zadní,rear
opakovat,repeat
osud,fate
rána,wound
uvedený,said
využití,use
bota,shoe
náměstí,square
vozidlo,vehicle
svoboda,freedom
zdraví,health
USA,USA
plyn,gas
elektrický,electric
píseň,song
král,king
objevovat,to discover
pocházet,to come from
nemoc,disease
snadný,easy
končit,end
nalézt,find
klidně,calmly
potřebný,necessary
vzpomenout,to remember
vstup,input
dřevo,wood
jestliže,if
nově,new
princip,principle
vlak,train
Plzeň,Pilsen
armáda,army
nápad,idea
požádat,ask
fond,fund
útok,attack
podíl,share
leden,January
jaro,spring
reagovat,respond
květen,May
přinášet,to bring
milimetr,millimeter
osobnost,personality
hrad,roost
vzpomínka,memory
padnout,to fall
starost,concern
krajský,regional
projev,speech
oznámit,announce
podporovat,support
udržet,to keep
herec,actor
vejít,enter
vodní,aqueous
seznam,list
současně,simultaneously
typický,typical
popsat,describe
setkání,meeting
dvakrát,twice
restaurace,restaurant
pravděpodobně,likely
závislý,dependent
odmítnout,refuse
výše,above
narodit,to be born
ODS,ODS
fáze,phase
činit,do
tvorba,creation
chodba,corridor
ostrov,island
dorazit,arrive
hezký,pretty
zahraniční,foreign
náhle,suddenly
příčina,cause
pracovník,worker
spojit,unite
vstát,get up
počkat,wait
poskytovat,to provide
potkat,meet
věta,sentence
tma,dark
přejít,go over
chlap,guy
zásadní,essential
třicet,thirty
přední,front
složka,component
účel,purpose
pomyslet,to think
noční,night
praktický,practical
připravovat,to prepare
čin,tin
neděle,Sunday
sice,although
prostřednictvím,through
zvýšit,increase
literatura,literature
hladina,surface
prakticky,practical
slabý,weak
tvrdý,hard
most,must
čtenář,reader
nebe,sky
umožnit,enable
wordělení,division
vesnice,village
posadit,seat
sníh,snow
britský,British
zámek,lock
židle,chair
jíst,eat
návrat,return
dopadnout,to fall
oběť,sacrifice
přesný,exact
provádět,to carry out
dějiny,history
těžko,hard
nedostatek,lack
pokoušet,to tempt
Čechy,Bohemia
profesor,professor
červen,June
dech,breath
poněkud,somewhat
prodávat,sell
jízda,drive
normální,normal
barevný,colored
babička,grandmother
obvyklý,usual
spokojený,satisfied
sto,hundred
euro,euro
dařit,to prosper
přičemž,while
úzký,narrow
příjem,income
ženský,female
majetek,property
venku,outdoors
přítomnost,presence
jednou,once
letní,summer
trest,penalty
říjen,October
test,test
koncert,concert
loňský,last year
Amerika,America
atmosféra,atmosphere
důkaz,evidence
dlaň,palm
sklo,glass
navrhnout,propose
daň,tax
deník,daily
původně,originally
dráha,path
ryba,fish
užívat,use
médium,medium
překvapit,surprise
strávit,spend
operační,operating
národ,nation
knihovna,library
orgán,organ
sotva,barely
politik,politician
buňka,cell
komise,commission
policejní,police
pěkný,nice
severní,north
viz,see
teplý,warm
přístroj,apparatus
spojení,connection
nahoru,up
tradice,tradition
ideální,ideal
dokonalý,perfect
dneska,today
region,region
František,Francis
navštívit,visit
procházet,to walk
kapsa,pocket
novinka,novelty
nastat,to occur
tmavý,dark
pojem,concept
sejít,to meet
duben,April
vítězství,victory
uprostřed,in the middle
listopad,November
březen,March
investice,investment
existence,existence
křídlo,wing
výjimka,exception
Rusko,Russia
new,new
spatřit,see
úvaha,account
nedávno,recently
roh,corner
opatření,measures
obecně,in general
vědomí,consciousness
branka,goal
promluvit,speak
oheň,fire
denně,daily
ráno,morning
zachránit,save
soupeř,rival
ústav,institute
varianta,variant
levý,left
potíž,difficulty
kolem,around
poloha,position
umělecký,artistic
vážný,serious
klíčový,key
obecný,general
dovnitř,in
schod,step
vědecký,scientific
čtvrtý,fourth
festival,festival
srpen,August
tabulka,table
rozpočet,budget
obava,fear
rozměr,dimension
cokoli,anything
správně,correctly
žádat,ask
pozemek,land
poskytnout,provide
tentýž,same
školní,school
přibližně,approximately
výrobek,product
těsně,tightly
uzavřít,conclude
aktivní,active
devět,nine
John,John
dovést,to bring
kombinace,combination
alkohol,alcohol
připomenout,remind
objem,volume
